,town,room_num,storey_avg,floor_area_sqm,remaining_lease,resale_price_100k,year_sold,month_sold
0,ANG MO KIO,2,11,44.0,61.33,2.32,2017,1
1,ANG MO KIO,3,2,67.0,60.58,2.5,2017,1
2,ANG MO KIO,3,2,67.0,62.42,2.62,2017,1
3,ANG MO KIO,3,5,68.0,62.08,2.65,2017,1
4,ANG MO KIO,3,2,67.0,62.42,2.65,2017,1
5,ANG MO KIO,3,2,68.0,63.00,2.75,2017,1
6,ANG MO KIO,3,5,68.0,61.50,2.8,2017,1
7,ANG MO KIO,3,5,67.0,58.33,2.85,2017,1
8,ANG MO KIO,3,5,68.0,61.50,2.85,2017,1
9,ANG MO KIO,3,2,67.0,61.33,2.85,2017,1
10,ANG MO KIO,3,2,68.0,62.08,2.885,2017,1
11,ANG MO KIO,3,11,67.0,59.67,2.95,2017,1
12,ANG MO KIO,3,5,67.0,59.67,2.95,2017,1
13,ANG MO KIO,3,8,67.0,59.50,2.97,2017,1
14,ANG MO KIO,3,8,68.0,62.08,2.98,2017,1
15,ANG MO KIO,3,5,67.0,60.00,2.98,2017,1
16,ANG MO KIO,3,11,67.0,61.33,3.0,2017,1
17,ANG MO KIO,3,5,68.0,62.67,3.01,2017,1
18,ANG MO KIO,3,8,67.0,61.00,3.06,2017,1
19,ANG MO KIO,3,5,68.0,62.67,3.12,2017,1
20,ANG MO KIO,3,8,67.0,60.83,3.12,2017,1
21,ANG MO KIO,3,5,73.0,59.50,3.21,2017,1
22,ANG MO KIO,3,11,67.0,61.00,3.25,2017,1
23,ANG MO KIO,3,2,67.0,59.25,3.25,2017,1
24,ANG MO KIO,3,5,67.0,61.42,3.28,2017,1
25,ANG MO KIO,3,8,74.0,60.33,3.3,2017,1
26,ANG MO KIO,3,8,68.0,63.00,3.3,2017,1
27,ANG MO KIO,3,11,73.0,59.50,3.35,2017,1
28,ANG MO KIO,3,8,68.0,63.00,3.38,2017,1
29,ANG MO KIO,3,11,82.0,62.00,3.66,2017,1
30,ANG MO KIO,3,11,73.0,60.25,3.73,2017,1
31,ANG MO KIO,3,8,82.0,62.00,3.75,2017,1
32,ANG MO KIO,3,2,81.0,62.42,3.9,2017,1
33,ANG MO KIO,4,11,92.0,61.50,4.0,2017,1
34,ANG MO KIO,4,8,91.0,61.50,4.0,2017,1
35,ANG MO KIO,4,2,94.0,63.75,4.03,2017,1
36,ANG MO KIO,4,2,92.0,63.00,4.1,2017,1
37,ANG MO KIO,4,2,98.0,61.08,4.25888,2017,1
38,ANG MO KIO,4,5,97.0,59.50,4.3,2017,1
39,ANG MO KIO,4,5,92.0,61.83,4.35,2017,1
40,ANG MO KIO,4,5,91.0,62.42,4.35,2017,1
41,ANG MO KIO,4,5,92.0,62.08,4.4,2017,1
42,ANG MO KIO,4,5,97.0,58.50,4.6,2017,1
43,ANG MO KIO,4,11,97.0,59.33,5.18,2017,1
44,ANG MO KIO,4,11,99.0,62.92,5.18,2017,1
45,ANG MO KIO,4,11,98.0,60.67,5.6,2017,1
46,ANG MO KIO,4,14,90.0,93.67,6.88,2017,1
47,ANG MO KIO,4,20,91.0,93.58,7.3,2017,1
48,ANG MO KIO,4,23,91.0,93.58,7.56,2017,1
49,ANG MO KIO,5,2,117.0,60.08,5.0,2017,1
50,ANG MO KIO,5,14,119.0,61.00,6.68,2017,1
51,ANG MO KIO,5,20,118.0,62.67,6.68,2017,1
52,ANG MO KIO,5,14,119.0,62.42,7.25,2017,1
53,ANG MO KIO,5,11,112.0,93.58,7.7,2017,1
54,ANG MO KIO,5,11,121.0,94.67,8.32,2017,1
55,ANG MO KIO,6,8,147.0,78.33,8.88,2017,1
126,BISHAN,3,11,68.0,55.75,2.75,2017,1
127,BISHAN,3,11,64.0,68.58,3.2,2017,1
128,BISHAN,3,5,64.0,67.92,3.95,2017,1
129,BISHAN,4,5,84.0,70.67,3.8,2017,1
130,BISHAN,4,5,84.0,70.67,4.75,2017,1
131,BISHAN,4,5,84.0,68.00,5.1,2017,1
132,BISHAN,4,5,83.0,69.08,5.13,2017,1
133,BISHAN,4,2,84.0,69.92,5.2,2017,1
134,BISHAN,4,8,84.0,67.92,5.3,2017,1
135,BISHAN,4,8,84.0,68.00,5.33,2017,1
136,BISHAN,4,2,83.0,69.08,5.83,2017,1
137,BISHAN,4,14,108.0,74.50,6.25,2017,1
138,BISHAN,4,35,95.0,93.58,8.08,2017,1
139,BISHAN,5,5,139.0,74.33,6.5,2017,1
140,BISHAN,5,2,121.0,69.50,6.5874,2017,1
141,BISHAN,5,8,123.0,72.25,7.0,2017,1
142,BISHAN,5,23,120.0,68.00,7.28888,2017,1
143,BISHAN,5,8,121.0,69.08,7.3,2017,1
144,BISHAN,5,8,121.0,67.17,7.6,2017,1
145,BISHAN,5,5,120.0,93.67,8.3,2017,1
146,BISHAN,6,5,146.0,74.33,8.88,2017,1
147,BISHAN,6,5,143.0,68.83,8.95,2017,1
299,CENTRAL AREA,2,5,55.0,64.00,2.5,2017,1
300,CENTRAL AREA,3,2,84.0,66.42,3.6,2017,1
301,CENTRAL AREA,3,17,68.0,68.75,4.0,2017,1
302,CENTRAL AREA,3,8,66.0,65.25,4.28,2017,1
