,town,room_num,storey_avg,floor_area_sqm,remaining_lease,resale_price_100k,year_sold,month_sold
195,BUKIT MERAH,2,8,34.0,53.50,2.18,2017,1
196,BUKIT MERAH,2,8,34.0,53.50,2.3,2017,1
197,BUKIT MERAH,2,8,45.0,58.00,2.45,2017,1
198,BUKIT MERAH,2,8,51.0,53.50,3.0,2017,1
199,BUKIT MERAH,3,5,65.0,57.17,2.95,2017,1
200,BUKIT MERAH,3,5,54.0,52.08,3.0,2017,1
201,BUKIT MERAH,3,11,59.0,58.33,3.0,2017,1
202,BUKIT MERAH,3,11,59.0,58.25,3.02,2017,1
203,BUKIT MERAH,3,2,67.0,61.00,3.13,2017,1
204,BUKIT MERAH,3,2,65.0,58.00,3.22,2017,1
205,BUKIT MERAH,3,5,58.0,51.50,3.33,2017,1
206,BUKIT MERAH,3,5,73.0,58.67,3.38,2017,1
207,BUKIT MERAH,3,11,67.0,61.00,3.4,2017,1
208,BUKIT MERAH,3,8,67.0,58.67,3.4,2017,1
209,BUKIT MERAH,3,5,59.0,56.17,3.5,2017,1
210,BUKIT MERAH,3,8,65.0,58.00,3.53,2017,1
211,BUKIT MERAH,3,8,65.0,58.00,3.63,2017,1
212,BUKIT MERAH,3,8,59.0,53.67,3.65,2017,1
213,BUKIT MERAH,3,5,65.0,64.67,3.78,2017,1
214,BUKIT MERAH,3,8,73.0,60.00,3.85,2017,1
215,BUKIT MERAH,3,2,76.0,55.50,4.0,2017,1
216,BUKIT MERAH,3,5,67.0,61.83,4.05,2017,1
217,BUKIT MERAH,3,14,68.0,95.58,5.8,2017,1
218,BUKIT MERAH,3,2,88.0,55.08,6.35,2017,1
219,BUKIT MERAH,3,2,88.0,55.00,6.37,2017,1
220,BUKIT MERAH,3,2,77.0,55.00,6.38,2017,1
221,BUKIT MERAH,3,23,69.0,95.33,6.5,2017,1
222,BUKIT MERAH,4,2,74.0,52.50,3.95,2017,1
223,BUKIT MERAH,4,5,82.0,57.33,4.58,2017,1
224,BUKIT MERAH,4,8,81.0,57.00,4.7,2017,1
225,BUKIT MERAH,4,5,106.0,67.17,5.1,2017,1
226,BUKIT MERAH,4,5,104.0,66.50,5.3,2017,1
227,BUKIT MERAH,4,11,88.0,58.00,5.5,2017,1
228,BUKIT MERAH,4,14,100.0,82.50,5.75,2017,1
229,BUKIT MERAH,4,17,100.0,79.42,5.75,2017,1
230,BUKIT MERAH,4,5,100.0,79.42,5.85,2017,1
231,BUKIT MERAH,4,2,91.0,67.67,5.95,2017,1
232,BUKIT MERAH,4,14,103.0,79.00,6.08,2017,1
233,BUKIT MERAH,4,5,95.0,95.67,6.48,2017,1
234,BUKIT MERAH,4,5,95.0,95.58,6.8,2017,1
235,BUKIT MERAH,4,5,95.0,95.58,6.88,2017,1
236,BUKIT MERAH,4,5,90.0,90.92,6.9,2017,1
237,BUKIT MERAH,4,5,100.0,87.92,6.9,2017,1
238,BUKIT MERAH,4,20,90.0,87.83,7.22,2017,1
239,BUKIT MERAH,4,14,85.0,90.92,7.35,2017,1
240,BUKIT MERAH,4,23,85.0,90.92,7.48,2017,1
241,BUKIT MERAH,4,29,89.0,95.33,7.9,2017,1
242,BUKIT MERAH,4,29,95.0,95.58,8.65,2017,1
243,BUKIT MERAH,4,8,81.0,57.00,4.7,2017,1
244,BUKIT MERAH,5,2,115.0,82.67,5.8,2017,1
245,BUKIT MERAH,5,2,122.0,68.50,5.95,2017,1
246,BUKIT MERAH,5,14,120.0,81.17,6.55,2017,1
247,BUKIT MERAH,5,11,134.0,66.50,6.8,2017,1
248,BUKIT MERAH,5,17,118.0,60.50,7.25,2017,1
249,BUKIT MERAH,5,8,117.0,56.42,7.4,2017,1
