,town,room_num,storey_avg,floor_area_sqm,remaining_lease,resale_price_100k,year_sold,month_sold
148,BUKIT BATOK,3,2,64.0,69.92,2.55,2017,1
149,BUKIT BATOK,3,5,64.0,69.50,2.55,2017,1
150,BUKIT BATOK,3,5,68.0,66.42,2.6,2017,1
151,BUKIT BATOK,3,11,60.0,69.50,2.6,2017,1
152,BUKIT BATOK,3,2,73.0,69.33,2.6,2017,1
153,BUKIT BATOK,3,5,67.0,66.92,2.69,2017,1
154,BUKIT BATOK,3,2,67.0,67.17,2.7,2017,1
155,BUKIT BATOK,3,8,69.0,67.42,2.75,2017,1
156,BUKIT BATOK,3,8,73.0,66.92,2.78,2017,1
157,BUKIT BATOK,3,5,67.0,67.58,2.8,2017,1
158,BUKIT BATOK,3,8,73.0,68.00,2.8,2017,1
159,BUKIT BATOK,3,8,67.0,67.17,2.85,2017,1
160,BUKIT BATOK,3,2,69.0,66.92,2.85,2017,1
161,BUKIT BATOK,3,8,73.0,67.17,2.85,2017,1
162,BUKIT BATOK,3,5,73.0,66.83,2.85,2017,1
163,BUKIT BATOK,3,2,67.0,80.00,2.92,2017,1
164,BUKIT BATOK,3,5,73.0,67.42,3.0,2017,1
165,BUKIT BATOK,3,8,68.0,69.67,3.0,2017,1
166,BUKIT BATOK,3,11,67.0,66.92,3.00188,2017,1
167,BUKIT BATOK,3,11,73.0,66.92,3.03,2017,1
168,BUKIT BATOK,3,11,73.0,66.75,3.05,2017,1
169,BUKIT BATOK,3,5,69.0,67.83,3.15,2017,1
170,BUKIT BATOK,3,8,68.0,66.83,3.35,2017,1
171,BUKIT BATOK,4,11,84.0,67.75,3.38,2017,1
172,BUKIT BATOK,4,2,103.0,69.33,3.5,2017,1
173,BUKIT BATOK,4,17,102.0,80.08,3.58,2017,1
174,BUKIT BATOK,4,5,91.0,67.83,3.75,2017,1
175,BUKIT BATOK,4,8,103.0,67.50,3.8,2017,1
176,BUKIT BATOK,4,2,100.0,80.08,3.95,2017,1
177,BUKIT BATOK,4,8,92.0,86.67,4.08,2017,1
178,BUKIT BATOK,4,2,104.0,71.50,4.1,2017,1
179,BUKIT BATOK,4,5,103.0,71.25,4.11,2017,1
